run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
3,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,24000,23988,0,12,3072000,3070464,40.942749,0.29936,0.030001,0.0,0.0005,0.4,0.999953,0.599953,1.0,seed1_run3_traffic_overload_s2.csv
3,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,24000,4830,0,19170,30720000,6182400,82.455068,240.836159,0.123944,0.0,0.79875,0.4,0.999832,0.599832,1.0,seed1_run3_traffic_overload_s2.csv
3,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,35981,0,19,4608000,4605568,61.411046,0.30796,0.024443,0.0,0.000528,0.4,0.999966,0.599966,1.0,seed1_run3_traffic_overload_s3.csv
3,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,4830,0,31170,46080000,6182400,82.455068,260.956187,0.123856,0.0,0.865833,0.4,0.999832,0.599832,1.0,seed1_run3_traffic_overload_s3.csv
4,1,none,none,0,0,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5997,0,3,768000,767616,10.236525,0.316292,0.030029,0.0,0.0005,0.4,0.999904,0.599904,1.0,seed1_run4_none.csv
4,1,none,none,0,0,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,2411,0,3589,7680000,3086080,41.159248,180.640215,0.149979,0.0,0.598167,0.4,0.999832,0.599832,1.0,seed1_run4_none.csv
4,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,2440,0,3560,768000,312320,4.16537,178.33109,0.149426,0.0,0.593333,0.4,0.999841,0.599841,1.0,seed1_run4_radio_degradation_s1.csv
4,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,429,0,5571,7680000,549120,7.335879,279.3886,1.292523,0.0,0.9285,0.4,0.998832,0.598832,1.0,seed1_run4_radio_degradation_s1.csv
4,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,1069,0,4931,768000,136832,1.825087,247.135687,0.462411,0.0,0.821833,0.4,0.999783,0.599783,1.0,seed1_run4_radio_degradation_s2.csv
4,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,308,0,5692,7680000,394240,5.268984,285.31041,1.840554,0.0,0.948667,0.4,0.998582,0.598582,1.0,seed1_run4_radio_degradation_s2.csv
